code_n, n_tries,          qber,        f_mean,  c_iters_mean,  n_iters_mean,             R,  pass/s_n,  kost/p_n,   p_n_max,   correct/k_n,   discl_n,           FER 
10000,       200,      0.000250,    0.98997242,   12.81025641,   24.55500000,    0.97268117,         4,       730,         0,       9999950,        33,    0.02500000
10000,       200,      0.000500,    1.13626612,   26.13440860,   57.66000000,    1.10911255,         4,       730,         0,       9999850,        70,    0.07000000
10000,       200,      0.000750,    1.19512188,   28.81443299,   89.29500000,    1.18813856,         4,       730,         0,       9999940,       105,    0.03000000
10000,       200,      0.001000,    1.13173448,   30.88442211,  109.01000000,    1.13098475,         4,       730,         0,       9999990,       129,    0.00500000
10000,       200,      0.001250,    1.09676787,   31.36868687,  125.74500000,    1.09521777,         4,       730,         0,       9999980,       151,    0.01000000
10000,       200,      0.001500,    1.13571915,   34.56060606,  154.18500000,    1.13471083,         4,       730,         0,       9999980,       184,    0.01000000
10000,       200,      0.001750,    1.15478160,   37.68367347,  181.77500000,    1.15265659,         4,       730,         0,       9999960,       214,    0.02000000
10000,       200,      0.002000,    1.14297435,   38.22110553,  198.80500000,    1.14256839,         4,       730,         0,       9999990,       237,    0.00500000
10000,       200,      0.002250,    1.15893723,   38.34010152,  223.60000000,    1.15759531,         4,       730,         0,       9999970,       266,    0.01500000
10000,       200,      0.002500,    1.14123752,   38.91919192,  238.53500000,    1.14055422,         4,       730,         0,       9999980,       287,    0.01000000
10000,       200,      0.030250,    1.21841620,   35.67839196, 1819.76500000,    1.21842448,         4,       730,         0,       9999990,      2383,    0.00500000
10000,       200,      0.002750,    1.15388878,   40.43654822,  263.29500000,    1.15273871,         4,       730,         0,       9999970,       315,    0.01500000
10000,       200,      0.003000,    1.14185648,   38.93969849,  278.35000000,    1.14159452,         4,       730,         0,       9999990,       336,    0.00500000
10000,       200,      0.003250,    1.13387857,   39.92500000,  294.66500000,    1.13387857,         4,       730,         0,      10000000,       357,    0.00000000
10000,       200,      0.003500,    1.14443027,   41.83919598,  319.33500000,    1.14405116,         4,       730,         0,       9999990,       384,    0.00500000
10000,       200,      0.003750,    1.16162463,   39.73500000,  342.78000000,    1.16162463,         4,       730,         0,      10000000,       413,    0.00000000
10000,       200,      0.004000,    1.15324712,   40.82828283,  357.67000000,    1.15274533,         4,       730,         0,       9999980,       433,    0.01000000
10000,       200,      0.004250,    1.14442291,   39.81909548,  371.10500000,    1.14419304,         4,       730,         0,       9999990,       453,    0.00500000
10000,       200,      0.004500,    1.15255794,   40.48500000,  393.99000000,    1.15255794,         4,       730,         0,      10000000,       478,    0.00000000
10000,       200,      0.030500,    1.22025310,   35.70000000, 1835.59500000,    1.22025310,         4,       730,         0,      10000000,      2402,    0.00000000
10000,       200,      0.004750,    1.16261208,   41.80904523,  415.62500000,    1.16247766,         4,       730,         0,       9999990,       505,    0.00500000
10000,       200,      0.005000,    1.15417677,   41.24623116,  429.03000000,    1.15389970,         4,       730,         0,       9999990,       524,    0.00500000
10000,       200,      0.005250,    1.14406071,   40.79396985,  443.21000000,    1.14386720,         4,       730,         0,       9999990,       541,    0.00500000
10000,       200,      0.005500,    1.15359219,   38.86294416,  463.28000000,    1.15311829,         4,       730,         0,       9999970,       567,    0.01500000
10000,       200,      0.005750,    1.16095442,   40.23618090,  484.77000000,    1.16084834,         4,       730,         0,       9999990,       592,    0.00500000
10000,       200,      0.006000,    1.15627571,   38.64824121,  497.72500000,    1.15606930,         4,       730,         0,       9999990,       611,    0.00500000
10000,       200,      0.030750,    1.22233235,   35.98500000, 1849.92000000,    1.22233235,         4,       730,         0,      10000000,      2421,    0.00000000
10000,       200,      0.060250,    1.26305074,   32.91000000, 3028.32000000,    1.26305074,         4,       730,         0,      10000000,      4148,    0.00000000
10000,       200,      0.006250,    1.15117338,   39.02500000,  512.27500000,    1.15117338,         4,       730,         0,      10000000,       630,    0.00000000
10000,       200,      0.006500,    1.16026182,   39.10000000,  533.38000000,    1.16026182,         4,       730,         0,      10000000,       656,    0.00000000
10000,       200,      0.006750,    1.16887458,   40.41500000,  555.37500000,    1.16887458,         4,       730,         0,      10000000,       682,    0.00000000
10000,       200,      0.007000,    1.16051464,   39.56500000,  568.31000000,    1.16051464,         4,       730,         0,      10000000,       698,    0.00000000
