code_n, n_tries,          qber,        f_mean,  c_iters_mean,  n_iters_mean,             R,  pass/s_n,  kost/p_n,   p_n_max,   correct/k_n,   discl_n,           FER 
100,       100,        0.1000,    1.22655737,   16.42500000,   16.42500000,    0.00000000,         4,       730,         0,           100,        57,    0.20000000
100,       100,        0.1000,    1.20238452,   20.47826087,   20.47826087,    0.00000000,        16,      1000,         0,           100,        56,    0.31000000
100,       100,        0.1000,    1.15841061,   19.22368421,   19.22368421,    0.00000000,        16,      1000,         0,           100,        54,    0.24000000
100,       100,        0.0100,    0.58078049,    5.24358974,    5.24358974,    0.00000000,        16,      1000,         0,           100,         4,    0.22000000
100,       100,        0.0200,    0.53156743,    5.81481481,    5.81481481,    0.00000000,        16,      1000,         0,           100,         7,    0.46000000
100,       100,        0.0200,    0.55745087,    6.55769231,    6.55769231,    0.00000000,        16,      1000,         0,           100,         7,    0.48000000
32,         1,        0.0800,    1.32092861,   12.00000000,   12.00000000,    0.00000000,        16,      1000,         0,            32,        17,    0.00000000
32,         1,        0.0800,    1.32092861,   12.00000000,   12.00000000,    0.00000000,        16,      1000,         0,            32,        17,    0.00000000
32,         1,        0.0800,    0.62161347,    6.00000000,    6.00000000,    0.00000000,        16,      1000,         0,            32,         8,    0.00000000
32,         1,        0.0800,    1.24322693,   11.00000000,   11.00000000,    0.00000000,        16,      1000,         0,            32,        16,    0.00000000
32,         1,        0.0800,    1.24322693,   11.00000000,   11.00000000,    0.00000000,        16,      1000,         0,            32,        16,    0.00000000
32,         1,        0.0800,    1.16552525,    7.00000000,    7.00000000,    0.00000000,        16,      1000,         0,            32,        15,    0.00000000
32,         1,        0.0800,    1.32092861,    7.00000000,    7.00000000,    0.00000000,        16,      1000,         0,            32,        17,    0.00000000
32,         1,        0.0800,    1.16552525,    7.00000000,    7.00000000,    0.00000000,        16,      1000,         0,            32,        15,    0.00000000
32,         1,        0.0800,    1.24322693,   11.00000000,   11.00000000,    0.00000000,        16,      1000,         0,            32,        16,    0.00000000
32,         1,        0.0800,    1.32092861,   12.00000000,   12.00000000,    0.00000000,        16,      1000,         0,            32,        17,    0.00000000
32,         1,        0.0800,    1.32092861,   12.00000000,   12.00000000,    0.00000000,        16,      1000,         0,            32,        17,    0.00000000
32,         1,        0.0800,    1.32092861,    7.00000000,    7.00000000,    0.00000000,        16,      1000,         0,            32,        17,    0.00000000
32,         1,        0.0800,    1.24322693,   11.00000000,   11.00000000,    0.00000000,        16,      1000,         0,            32,        16,    0.00000000
32,         1,        0.0800,    1.32092861,   12.00000000,   12.00000000,    0.00000000,        16,      1000,         0,            32,        17,    0.00000000
32,         1,        0.0800,    0.62161347,    6.00000000,    6.00000000,    0.00000000,        16,      1000,         0,            30,         8,    1.00000000
32,         1,        0.0800,    1.24322693,   11.00000000,   11.00000000,    0.00000000,        16,      1000,         0,            32,        16,    0.00000000
32,         1,        0.0800,    1.08782356,    6.00000000,    6.00000000,    0.00000000,        16,      1000,         0,            32,        14,    0.00000000
32,         1,        0.0800,    0.00000000,    0.00000000,    6.00000000,    0.00000000,        16,      1000,         0,            30,         0,    1.00000000
32,         1,        0.0800,    0.00000000,    0.00000000,    7.00000000,    0.00000000,        16,      1000,         0,            30,         0,    1.00000000
32,         1,        0.0800,    1.16552525,    7.00000000,    7.00000000,    0.00000000,        16,      1000,         0,            32,        15,    0.00000000
32,         1,        0.0800,    1.24322693,    7.00000000,    7.00000000,    0.00000000,        16,      1000,         0,            32,        16,    0.00000000
32,         1,        0.0800,    0.00000000,    0.00000000,    7.00000000,    0.00000000,        16,      1000,         0,            30,         0,    1.00000000
32,         1,        0.0800,    0.00000000,    0.00000000,    7.00000000,    0.00000000,        16,      1000,         0,            30,         0,    1.00000000
