code_n, n_tries,          qber,        f_mean,  c_iters_mean,             R,       s_n,       p_n,   p_n_max,           k_n,   discl_n,           FER 
1944,         2,        0.2000,    1.08953057,    2.50000000,    0.50000000,       597,         0,       439,          1347,        35,    0.00000000
1944,2,  0.2100,    1.10792909,    3.00000000,    0.50000000,       633,         0,       439,          1311,        35,    0.00000000
1944,2,  0.2200,    1.14373377,    4.00000000,    0.50000000,       665,         0,       439,          1279,        35,    0.00000000
1944,2,  0.2300,    1.08944433,    2.50000000,    0.50000000,       694,         0,       439,          1250,        35,    0.00000000
1944,2,  0.2400,    1.08964586,    2.50000000,    0.50000000,       721,         0,       439,          1223,        35,    0.00000000
1944,2,  0.2500,    1.10720173,    3.00000000,    0.50000000,       745,         0,       439,          1199,        35,    0.00000000
1944,2,  0.2600,    1.10773552,    3.00000000,    0.50000000,       768,         0,       439,          1176,        35,    0.00000000
1944,2,  0.2700,    1.12518015,    3.50000000,    0.50000000,       788,         0,       439,          1156,        35,    0.00000000
1944,2,  0.2800,    1.08929486,    2.50000000,    0.50000000,       807,         0,       439,          1137,        35,    0.00000000
1944,2,  0.2900,    1.12591404,    3.50000000,    0.50000000,       825,         0,       439,          1119,        35,    0.00000000
1944,2,  0.0200,    1.24482195,    3.00000000,    0.83330000,         0,        58,       152,          1886,        22,    0.00000000
1944,2,  0.0210,    1.51175217,    6.50000000,    0.83330000,         0,        45,       152,          1899,        22,    0.00000000
1944,2,  0.0220,    1.18726886,    2.50000000,    0.83330000,         0,        33,       152,          1911,        22,    0.00000000
1944,2,  0.0230,    1.25114528,    3.50000000,    0.83330000,         0,        21,       152,          1923,        22,    0.00000000
1944,2,  0.0240,    1.27772789,    4.00000000,    0.83330000,         0,         8,       152,          1936,        22,    0.00000000
1944,2,  0.0250,    1.23721925,    3.50000000,    0.83330000,        22,         0,       152,          1922,        22,    0.00000000
1944,2,  0.0260,    1.23716126,    3.50000000,    0.83330000,        80,         0,       152,          1864,        22,    0.00000000
1944,2,  0.0270,    1.20315902,    3.00000000,    0.83330000,       134,         0,       152,          1810,        22,    0.00000000
1944,2,  0.0280,    1.22694289,    3.00000000,    0.75000000,         0,       157,       227,          1787,        25,    0.00000000
1944,2,  0.0290,    1.25567395,    3.50000000,    0.75000000,         0,       146,       227,          1798,        25,    0.00000000
