code_n, n_tries,          qber,        f_mean,  c_iters_mean,  n_iters_mean,             R,       s_n,       p_n,   p_n_max,           k_n,   discl_n,           FER 
1944,        20,        0.0270,    1.25405344,    3.75000000,    6.45000000,    0.83330000,       134,         0,       152,          1810,        22,    0.00000000
1944,        20,        0.0470,    1.17481476,    3.40000000,   12.80000000,    0.75000000,       167,         0,       227,          1777,        25,    0.00000000
1944,        20,        0.0280,    1.24420520,    3.60000000,    5.65000000,    0.83330000,       185,         0,       152,          1759,        22,    0.00000000
1944,        20,        0.0790,    1.13828666,    3.10000000,   17.00000000,    0.66670000,       318,         0,       302,          1626,        29,    0.00000000
1944,        20,        0.0100,    1.69153683,    3.55000000,   21.25000000,    0.75000000,         0,       358,       227,          1586,        25,    0.00000000
1944,        20,        0.0300,    1.31336756,    3.40000000,   22.15000000,    0.66670000,         0,       336,       302,          1608,        29,    0.00000000
1944,        20,        0.0700,    1.17063114,    2.75000000,   29.25000000,    0.50000000,         0,       412,       439,          1532,        35,    0.00000000
1944,        20,        0.0480,    1.18465074,    3.60000000,   10.20000000,    0.75000000,       194,         0,       227,          1750,        25,    0.00000000
1944,        20,        0.0290,    1.24738362,    3.65000000,    7.45000000,    0.83330000,       232,         0,       152,          1712,        22,    0.00000000
1944,        20,        0.0800,    1.12690223,    2.85000000,   21.40000000,    0.66670000,       332,         0,       302,          1612,        29,    0.00000000
1944,        20,        0.0300,    1.25048660,    3.70000000,    6.80000000,    0.83330000,       276,         0,       152,          1668,        22,    0.00000000
1944,        20,        0.0110,    1.67740714,    3.80000000,   19.50000000,    0.75000000,         0,       347,       227,          1597,        25,    0.00000000
1944,        20,        0.0490,    1.17975848,    3.50000000,   11.05000000,    0.75000000,       221,         0,       227,          1723,        25,    0.00000000
1944,        20,        0.0310,    1.33504181,    3.75000000,   18.45000000,    0.66670000,         0,       326,       302,          1618,        29,    0.00000000
1944,        20,        0.0310,    1.23710751,    3.50000000,    7.80000000,    0.83330000,       318,         0,       152,          1626,        22,    0.00000000
1944,        20,        0.0810,    1.14258549,    3.20000000,   16.70000000,    0.66670000,       346,         0,       302,          1598,        29,    0.00000000
1944,        20,        0.0710,    1.16480743,    2.70000000,   32.55000000,    0.50000000,         0,       403,       439,          1541,        35,    0.00000000
1944,        20,        0.0500,    1.18257512,    3.55000000,   12.05000000,    0.75000000,       247,         0,       227,          1697,        25,    0.00000000
1944,        20,        0.0320,    1.24363398,    3.60000000,    6.80000000,    0.83330000,       357,         0,       152,          1587,        22,    0.00000000
