code_n, n_tries,          qber,        f_mean,  c_iters_mean,  n_iters_mean,             R,       s_n,       p_n,   p_n_max,           k_n,   discl_n,           FER 
1944,        20,        0.0010,    5.26411691,    3.65000000,    0.00000000,    0.83330000,         0,       306,       152,          1638,        22,    0.00000000
1944,        20,        0.0020,    2.97052786,    3.10000000,    0.00000000,    0.83330000,         0,       290,       152,          1654,        22,    0.00000000
1944,        20,        0.0030,    2.40698710,    3.15000000,    0.00000000,    0.83330000,         0,       275,       152,          1669,        22,    0.00000000
1944,        20,        0.0040,    2.09046237,    3.15000000,    0.00000000,    0.83330000,         0,       261,       152,          1683,        22,    0.00000000
1944,        20,        0.0050,    1.81350847,    2.85000000,    0.00000000,    0.83330000,         0,       247,       152,          1697,        22,    0.00000000
1944,        20,        0.0060,    1.72476285,    3.00000000,    0.00000000,    0.83330000,         0,       234,       152,          1710,        22,    0.00000000
1944,        20,        0.0070,    1.67312522,    3.20000000,    0.00000000,    0.83330000,         0,       221,       152,          1723,        22,    0.00000000
1944,        20,        0.0080,    1.57900742,    3.10000000,    0.00000000,    0.83330000,         0,       208,       152,          1736,        22,    0.00000000
1944,        20,        0.0090,    1.53082194,    3.15000000,    0.00000000,    0.83330000,         0,       195,       152,          1749,        22,    0.00000000
1944,        20,        0.0100,    1.49247347,    3.20000000,    0.00000000,    0.83330000,         0,       182,       152,          1762,        22,    0.00000000
1944,        20,        0.0110,    1.42721676,    3.05000000,    0.00000000,    0.83330000,         0,       170,       152,          1774,        22,    0.00000000
1944,        20,        0.0120,    1.33824618,    2.60000000,    0.00000000,    0.83330000,         0,       157,       152,          1787,        22,    0.00000000
1944,        20,        0.0130,    1.34148120,    2.80000000,    0.00000000,    0.83330000,         0,       144,       152,          1800,        22,    0.00000000
1944,        20,        0.0140,    1.38582160,    3.40000000,    0.00000000,    0.83330000,         0,       132,       152,          1812,        22,    0.00000000
1944,        20,        0.0150,    1.39287856,    3.70000000,    0.00000000,    0.83330000,         0,       120,       152,          1824,        22,    0.00000000
1944,        20,        0.0160,    1.34246898,    3.40000000,    0.00000000,    0.83330000,         0,       107,       152,          1837,        22,    0.00000000
1944,        20,        0.0170,    1.32747004,    3.45000000,    0.00000000,    0.83330000,         0,        95,       152,          1849,        22,    0.00000000
1944,        20,        0.0180,    1.30844184,    3.40000000,    0.00000000,    0.83330000,         0,        82,       152,          1862,        22,    0.00000000
1944,        20,        0.0190,    1.30965573,    3.60000000,    0.00000000,    0.83330000,         0,        70,       152,          1874,        22,    0.00000000
1944,        20,        0.0200,    1.28193440,    3.45000000,    0.00000000,    0.83330000,         0,        58,       152,          1886,        22,    0.00000000
1944,        20,        0.0210,    1.27141331,    3.45000000,    0.00000000,    0.83330000,         0,        45,       152,          1899,        22,    0.00000000
1944,        20,        0.0220,    1.24387657,    3.25000000,    0.00000000,    0.83330000,         0,        33,       152,          1911,        22,    0.00000000
1944,        20,        0.0230,    1.29821982,    4.15000000,    0.00000000,    0.83330000,         0,        21,       152,          1923,        22,    0.00000000
1944,        20,        0.0240,    1.25685747,    3.70000000,    0.00000000,    0.83330000,         0,         8,       152,          1936,        22,    0.00000000
1944,        20,        0.0250,    1.25079253,    3.70000000,    0.00000000,    0.83330000,        22,         0,       152,          1922,        22,    0.00000000
1944,        20,        0.0260,    1.28466551,    4.20000000,    0.00000000,    0.83330000,        80,         0,       152,          1864,        22,    0.00000000
1944,        20,        0.0270,    1.24726752,    3.65000000,    0.00000000,    0.83330000,       134,         0,       152,          1810,        22,    0.00000000
1944,        20,        0.0280,    1.27629393,    3.65000000,    0.00000000,    0.75000000,         0,       157,       227,          1787,        25,    0.00000000
1944,        20,        0.0290,    1.25200239,    3.45000000,    0.00000000,    0.75000000,         0,       146,       227,          1798,        25,    0.00000000
1944,        20,        0.0300,    1.24696126,    3.50000000,    0.00000000,    0.75000000,         0,       135,       227,          1809,        25,    0.00000000
1944,        20,        0.0310,    1.22013312,    3.20000000,    0.00000000,    0.75000000,         0,       123,       227,          1821,        25,    0.00000000
1944,        20,        0.0320,    1.24625057,    3.70000000,    0.00000000,    0.75000000,         0,       112,       227,          1832,        25,    0.00000000
1944,        20,        0.0330,    1.20269193,    3.15000000,    0.00000000,    0.75000000,         0,       101,       227,          1843,        25,    0.00000000
1944,        20,        0.0340,    1.22953349,    3.65000000,    0.00000000,    0.75000000,         0,        89,       227,          1855,        25,    0.00000000
1944,        20,        0.0350,    1.20401296,    3.35000000,    0.00000000,    0.75000000,         0,        78,       227,          1866,        25,    0.00000000
1944,        20,        0.0360,    1.20957539,    3.55000000,    0.00000000,    0.75000000,         0,        67,       227,          1877,        25,    0.00000000
1944,        20,        0.0370,    1.18457142,    3.20000000,    0.00000000,    0.75000000,         0,        55,       227,          1889,        25,    0.00000000
1944,        20,        0.0380,    1.15796063,    2.80000000,    0.00000000,    0.75000000,         0,        43,       227,          1901,        25,    0.00000000
1944,        20,        0.0390,    1.21352812,    3.90000000,    0.00000000,    0.75000000,         0,        32,       227,          1912,        25,    0.00000000
1944,        20,        0.0400,    1.19537893,    3.65000000,   10.45000000,    0.75000000,         0,        20,       227,          1924,        25,    0.00000000
1944,        20,        0.0410,    1.20271008,    3.90000000,   12.85000000,    0.75000000,         0,         9,       227,          1935,        25,    0.00000000
1944,        20,        0.0420,    1.22072956,    4.30000000,    9.35000000,    0.75000000,        10,         0,       227,          1934,        25,    0.00000000
1944,        20,        0.0430,    1.17447267,    3.40000000,   14.35000000,    0.75000000,        44,         0,       227,          1900,        25,    0.00000000
1944,        20,        0.0440,    1.17990533,    3.50000000,   11.20000000,    0.75000000,        77,         0,       227,          1867,        25,    0.00000000
1944,        20,        0.0450,    1.16692031,    3.25000000,   11.90000000,    0.75000000,       108,         0,       227,          1836,        25,    0.00000000
1944,        20,        0.0460,    1.18495234,    3.60000000,   11.70000000,    0.75000000,       138,         0,       227,          1806,        25,    0.00000000
1944,        20,        0.0470,    1.21095771,    3.55000000,   17.90000000,    0.66670000,         0,       160,       302,          1784,        29,    0.00000000
1944,        20,        0.0480,    1.19970341,    3.45000000,   19.45000000,    0.66670000,         0,       150,       302,          1794,        29,    0.00000000
1944,        20,        0.0490,    1.19299659,    3.40000000,   14.35000000,    0.66670000,         0,       139,       302,          1805,        29,    0.00000000
1944,        20,        0.0500,    1.17532950,    3.15000000,   19.45000000,    0.66670000,         0,       128,       302,          1816,        29,    0.00000000
1944,        20,        0.0510,    1.17741620,    3.25000000,   21.95000000,    0.66670000,         0,       117,       302,          1827,        29,    0.00000000
