code_n, n_tries,          qber,        f_mean,  c_iters_mean,  n_iters_mean,             R,       s_n,       p_n,   p_n_max,           k_n,   discl_n,           FER 
1944,        20,        0.0010,    5.14638113,    3.55000000,   20.25000000,    0.83330000,         0,       306,       152,          1638,        22,    0.00000000
1944,        20,        0.0310,    1.21669031,    3.15000000,   13.75000000,    0.75000000,         0,       123,       227,          1821,        25,    0.00000000
1944,        20,        0.0610,    1.14850521,    3.30000000,   16.50000000,    0.66670000,         0,         6,       302,          1938,        29,    0.00000000
1944,        20,        0.0020,    3.00248001,    3.15000000,   17.80000000,    0.83330000,         0,       290,       152,          1654,        22,    0.00000000
1944,        20,        0.1210,    1.11118938,    3.10000000,   24.65000000,    0.50000000,       117,         0,       439,          1827,        35,    0.00000000
1944,        20,        0.0910,    1.13524506,    2.95000000,   31.65000000,    0.50000000,         0,       209,       439,          1735,        35,    0.00000000
1944,        20,        0.0320,    1.23623248,    3.55000000,   13.75000000,    0.75000000,         0,       112,       227,          1832,        25,    0.00000000
1944,        20,        0.0620,    1.14723159,    3.30000000,   16.40000000,    0.66670000,        11,         0,       302,          1933,        29,    0.00000000
1944,        20,        0.0030,    2.31751165,    2.95000000,   20.25000000,    0.83330000,         0,       275,       152,          1669,        22,    0.00000000
1944,        20,        0.0330,    1.22862599,    3.55000000,   10.45000000,    0.75000000,         0,       101,       227,          1843,        25,    0.00000000
1944,        20,        0.0040,    2.14257989,    3.30000000,   16.00000000,    0.83330000,         0,       261,       152,          1683,        22,    0.00000000
1944,        20,        0.0630,    1.13872376,    3.10000000,   16.15000000,    0.66670000,        34,         0,       302,          1910,        29,    0.00000000
1944,        20,        0.1220,    1.10774536,    3.00000000,   28.95000000,    0.50000000,       127,         0,       439,          1817,        35,    0.00000000
1944,        20,        0.0920,    1.14228932,    3.15000000,   31.35000000,    0.50000000,         0,       199,       439,          1745,        35,    0.00000000
1944,        20,        0.0050,    1.79923550,    2.80000000,   18.70000000,    0.83330000,         0,       247,       152,          1697,        22,    0.00000000
