code_n, n_tries,          qber,        f_mean,  c_iters_mean,  n_iters_mean,             R,  pass/s_n,  kost/p_n,   p_n_max,   correct/k_n,   discl_n,           FER 
10000,       200,        0.0003,    2.13226152,   13.92500000,   13.92500000,    2.13226152,         4,       100,         0,         10000,        71,    0.00000000
10000,       200,        0.0005,    2.32226987,   15.27500000,   15.27500000,    2.32226987,         4,       100,         0,         10000,       144,    0.00000000
10000,       200,        0.0008,    2.41518442,   14.95500000,   14.95500000,    2.41518442,         4,       100,         0,         10000,       214,    0.00000000
10000,       200,        0.0302,    3.50858101,   11.34500000,   11.34500000,    3.50858101,         4,       100,         0,         10000,      6864,    0.00000000
10000,       200,        0.0010,    2.42790920,   15.58500000,   15.58500000,    2.42790920,         4,       100,         0,         10000,       276,    0.00000000
10000,       200,        0.0602,    3.97525211,    9.52500000,    9.52500000,    3.97525211,         4,       100,         0,         10000,     13056,    0.00000000
10000,       200,        0.0013,    2.45120512,   15.12500000,   15.12500000,    2.45120512,         4,       100,         0,         10000,       339,    0.00000000
10000,       200,        0.0015,    2.49943768,   16.29500000,   16.29500000,    2.49943768,         4,       100,         0,         10000,       405,    0.00000000
10000,       200,        0.0305,    3.51358304,   11.56000000,   11.56000000,    3.51358304,         4,       100,         0,         10000,      6918,    0.00000000
10000,       200,        0.0902,    4.34096339,    9.00000000,    9.00000000,    4.34096339,         4,       100,         0,         10000,     18983,    0.00000000
10000,       200,        0.0018,    2.55218973,   15.28000000,   15.28000000,    2.55218973,         4,       100,         0,         10000,       473,    0.00000000
10000,       200,        0.1202,    4.72646480,    5.00000000,    5.00000000,    4.72646480,         4,       100,         0,         10000,     25054,    0.00000000
10000,       200,        0.0020,    2.56115198,   16.01500000,   16.01500000,    2.56115198,         4,       100,         0,         10000,       533,    0.00000000
10000,       200,        0.0307,    3.51883355,   11.65000000,   11.65000000,    3.51883355,         4,       100,         0,         10000,      6972,    0.00000000
10000,       200,        0.0023,    2.60822552,   16.48000000,   16.48000000,    2.60822552,         4,       100,         0,         10000,       600,    0.00000000
10000,       200,        0.0605,    3.97830572,    9.36000000,    9.36000000,    3.97830572,         4,       100,         0,         10000,     13105,    0.00000000
10000,       200,        0.0025,    2.62100791,   16.37000000,   16.37000000,    2.62100791,         4,       100,         0,         10000,       660,    0.00000000
10000,       200,        0.0027,    2.64417953,   16.76500000,   16.76500000,    2.64417953,         4,       100,         0,         10000,       723,    0.00000000
10000,       200,        0.0310,    3.52355030,   11.61000000,   11.61000000,    3.52355030,         4,       100,         0,         10000,      7025,    0.00000000
10000,       200,        0.0030,    2.64746344,   16.51000000,   16.51000000,    2.64746344,         4,       100,         0,         10000,       780,    0.00000000
10000,       200,        0.0905,    4.34368117,    9.02500000,    9.02500000,    4.34368117,         4,       100,         0,         10000,     19031,    0.00000000
10000,       200,        0.0033,    2.66688848,   15.56500000,   15.56500000,    2.66688848,         4,       100,         0,         10000,       841,    0.00000000
10000,       200,        0.0607,    3.98249961,    9.40500000,    9.40500000,    3.98249961,         4,       100,         0,         10000,     13158,    0.00000000
10000,       200,        0.1205,    4.72968548,    5.00000000,    5.00000000,    4.72968548,         4,       100,         0,         10000,     25105,    0.00000000
10000,       200,        0.0035,    2.69034861,   15.99000000,   15.99000000,    2.69034861,         4,       100,         0,         10000,       903,    0.00000000
10000,       200,        0.0312,    3.52858039,   11.32500000,   11.32500000,    3.52858039,         4,       100,         0,         10000,      7079,    0.00000000
10000,       200,        0.0037,    2.71668511,   16.27500000,   16.27500000,    2.71668511,         4,       100,         0,         10000,       967,    0.00000000
