code_n, n_tries,          qber,        f_mean,  c_iters_mean,  n_iters_mean,             R,  pass/s_n,  kost/p_n,   p_n_max,   correct/k_n,   discl_n,           FER 
10000,       200,        0.0001,    0.50163568,    7.86577181,    7.86577181,    0.00000000,        16,      1000,         0,         10000,         7,    0.25500000
10000,       200,        0.0002,    0.57150011,   11.55855856,   11.55855856,    0.00000000,        16,      1000,         0,         10000,        15,    0.44500000
10000,       200,        0.0003,    0.50983981,   12.35294118,   12.35294118,    0.00000000,        16,      1000,         0,         10000,        20,    0.57500000
10000,       200,        0.0004,    0.77366922,   19.87912088,   19.87912088,    0.00000000,        16,      1000,         0,         10000,        39,    0.54500000
10000,       200,        0.0005,    0.72875674,   20.51250000,   20.51250000,    0.00000000,        16,      1000,         0,         10000,        45,    0.60000000
10000,       200,        0.0301,    1.44248818,   71.54500000,   71.54500000,    0.00000000,        16,      1000,         0,         10000,      2811,    0.00000000
10000,       200,        0.0006,    0.83265906,   25.80555556,   25.80555556,    0.00000000,        16,      1000,         0,         10000,        60,    0.46000000
10000,       200,        0.0601,    1.53273948,   67.14500000,   67.14500000,    0.00000000,        16,      1000,         0,         10000,      5024,    0.00000000
10000,       200,        0.0007,    0.87021506,   28.68686869,   28.68686869,    0.00000000,        16,      1000,         0,         10000,        72,    0.50500000
10000,       200,        0.0901,    1.60512673,   63.28000000,   63.28000000,    0.00000000,        16,      1000,         0,         10000,      7011,    0.00000000
10000,       200,        0.0008,    0.91366244,   31.93859649,   31.93859649,    0.00000000,        16,      1000,         0,         10000,        85,    0.43000000
10000,       200,        0.1201,    1.65797208,   60.50000000,   60.50000000,    0.00000000,        16,      1000,         0,         10000,      8781,    0.00000000
10000,       200,        0.0009,    0.92643900,   35.29357798,   35.29357798,    0.00000000,        16,      1000,         0,         10000,        96,    0.45500000
10000,       200,        0.0302,    1.43662908,   71.39000000,   71.39000000,    0.00000000,        16,      1000,         0,         10000,      2807,    0.00000000
10000,       200,        0.0010,    1.02077904,   39.37600000,   39.37600000,    0.00000000,        16,      1000,         0,         10000,       116,    0.37500000
10000,       200,        0.0602,    1.52820816,   67.30500000,   67.30500000,    0.00000000,        16,      1000,         0,         10000,      5016,    0.00000000
10000,       200,        0.0011,    0.98831839,   41.59523810,   41.59523810,    0.00000000,        16,      1000,         0,         10000,       122,    0.37000000
10000,       200,        0.0902,    1.60148635,   62.60000000,   62.60000000,    0.00000000,        16,      1000,         0,         10000,      7000,    0.00000000
10000,       200,        0.0303,    1.43726367,   70.92000000,   70.92000000,    0.00000000,        16,      1000,         0,         10000,      2815,    0.00000000
10000,       200,        0.0012,    1.06277005,   46.35971223,   46.35971223,    0.00000000,        16,      1000,         0,         10000,       142,    0.30500000
10000,       200,        0.1202,    1.65889344,   60.50500000,   60.50500000,    0.00000000,        16,      1000,         0,         10000,      8791,    0.00000000
10000,       200,        0.0013,    1.06919503,   48.51612903,   48.51612903,    0.00000000,        16,      1000,         0,         10000,       153,    0.38000000
10000,       200,        0.0603,    1.52774818,   66.87500000,   66.87500000,    0.00000000,        16,      1000,         0,         10000,      5020,    0.00000000
10000,       200,        0.0014,    1.10281489,   51.38961039,   51.38961039,    0.00000000,        16,      1000,         0,         10000,       168,    0.23000000
10000,       200,        0.0304,    1.44035541,   72.05000000,   72.05000000,    0.00000000,        16,      1000,         0,         10000,      2828,    0.00000000
10000,       200,        0.0903,    1.60832029,   62.72500000,   62.72500000,    0.00000000,        16,      1000,         0,         10000,      7035,    0.00000000
10000,       200,        0.0015,    1.10974951,   52.85350318,   52.85350318,    0.00000000,        16,      1000,         0,         10000,       180,    0.21500000
10000,       200,        0.0016,    1.11953874,   53.31097561,   53.31097561,    0.00000000,        16,      1000,         0,         10000,       192,    0.18000000
10000,       200,        0.1203,    1.65763495,   60.48500000,   60.48500000,    0.00000000,        16,      1000,         0,         10000,      8789,    0.00000000
10000,       200,        0.0604,    1.53171561,   66.69500000,   66.69500000,    0.00000000,        16,      1000,         0,         10000,      5039,    0.00000000
10000,       200,        0.0305,    1.44507553,   72.17500000,   72.17500000,    0.00000000,        16,      1000,         0,         10000,      2845,    0.00000000
10000,       200,        0.0017,    1.15157930,   58.85276074,   58.85276074,    0.00000000,        16,      1000,         0,         10000,       208,    0.18500000
10000,       200,        0.0904,    1.60556370,   62.69000000,   62.69000000,    0.00000000,        16,      1000,         0,         10000,      7029,    0.00000000
10000,       200,        0.0018,    1.15202146,   58.77325581,   58.77325581,    0.00000000,        16,      1000,         0,         10000,       218,    0.14000000
10000,       200,        0.0306,    1.44505378,   72.16500000,   72.16500000,    0.00000000,        16,      1000,         0,         10000,      2852,    0.00000000
10000,       200,        0.0605,    1.52540076,   66.52500000,   66.52500000,    0.00000000,        16,      1000,         0,         10000,      5025,    0.00000000
10000,       200,        0.0019,    1.16526159,   63.40000000,   63.40000000,    0.00000000,        16,      1000,         0,         10000,       232,    0.12500000
10000,       200,        0.1204,    1.65575055,   60.57000000,   60.57000000,    0.00000000,        16,      1000,         0,         10000,      8783,    0.00000000
10000,       200,        0.0020,    1.22235263,   65.55056180,   65.55056180,    0.00000000,        16,      1000,         0,         10000,       254,    0.11000000
10000,       200,        0.0307,    1.44975043,   72.10500000,   72.10500000,    0.00000000,        16,      1000,         0,         10000,      2868,    0.00000000
10000,       200,        0.0905,    1.60610087,   63.02000000,   63.02000000,    0.00000000,        16,      1000,         0,         10000,      7036,    0.00000000
10000,       200,        0.0606,    1.52672908,   66.69500000,   66.69500000,    0.00000000,        16,      1000,         0,         10000,      5035,    0.00000000
10000,       200,        0.0021,    1.18711114,   65.16091954,   65.16091954,    0.00000000,        16,      1000,         0,         10000,       257,    0.13000000
10000,       200,        0.0308,    1.44573448,   71.40500000,   71.40500000,    0.00000000,        16,      1000,         0,         10000,      2868,    0.00000000
10000,       200,        0.1205,    1.65691499,   60.57500000,   60.57500000,    0.00000000,        16,      1000,         0,         10000,      8794,    0.00000000
10000,       200,        0.0022,    1.23105964,   69.06989247,   69.06989247,    0.00000000,        16,      1000,         0,         10000,       278,    0.07000000
10000,       200,        0.0906,    1.60561841,   63.23000000,   63.23000000,    0.00000000,        16,      1000,         0,         10000,      7040,    0.00000000
10000,       200,        0.0607,    1.52879279,   66.90500000,   66.90500000,    0.00000000,        16,      1000,         0,         10000,      5048,    0.00000000
10000,       200,        0.0023,    1.23357997,   72.07407407,   72.07407407,    0.00000000,        16,      1000,         0,         10000,       289,    0.05500000
10000,       200,        0.0309,    1.44290110,   71.59500000,   71.59500000,    0.00000000,        16,      1000,         0,         10000,      2869,    0.00000000
10000,       200,        0.0024,    1.23489813,   71.98876404,   71.98876404,    0.00000000,        16,      1000,         0,         10000,       300,    0.11000000
10000,       200,        0.1206,    1.66192450,   60.95000000,   60.95000000,    0.00000000,        16,      1000,         0,         10000,      8826,    0.00000000
10000,       200,        0.0608,    1.53322106,   66.36000000,   66.36000000,    0.00000000,        16,      1000,         0,         10000,      5069,    0.00000000
10000,       200,        0.0310,    1.44461432,   71.38000000,   71.38000000,    0.00000000,        16,      1000,         0,         10000,      2880,    0.00000000
10000,       200,        0.0025,    1.21772213,   68.10471204,   68.10471204,    0.00000000,        16,      1000,         0,         10000,       307,    0.04500000
10000,       200,        0.0907,    1.60907304,   63.56000000,   63.56000000,    0.00000000,        16,      1000,         0,         10000,      7060,    0.00000000
10000,       200,        0.0026,    1.20597602,   69.98429319,   69.98429319,    0.00000000,        16,      1000,         0,         10000,       314,    0.04500000
10000,       200,        0.0311,    1.44096175,   70.55000000,   70.55000000,    0.00000000,        16,      1000,         0,         10000,      2880,    0.00000000
10000,       200,        0.0609,    1.53124733,   66.67000000,   66.67000000,    0.00000000,        16,      1000,         0,         10000,      5068,    0.00000000
10000,       200,        0.1207,    1.65988403,   60.52000000,   60.52000000,    0.00000000,        16,      1000,         0,         10000,      8820,    0.00000000
10000,       200,        0.0027,    1.25658569,   75.04639175,   75.04639175,    0.00000000,        16,      1000,         0,         10000,       338,    0.03000000
10000,       200,        0.0908,    1.60583947,   61.86000000,   61.86000000,    0.00000000,        16,      1000,         0,         10000,      7051,    0.00000000
10000,       200,        0.0312,    1.44216415,   71.63500000,   71.63500000,    0.00000000,        16,      1000,         0,         10000,      2889,    0.00000000
10000,       200,        0.0028,    1.28680019,   79.39175258,   79.39175258,    0.00000000,        16,      1000,         0,         10000,       357,    0.03000000
10000,       200,        0.0610,    1.52867898,   66.82000000,   66.82000000,    0.00000000,        16,      1000,         0,         10000,      5066,    0.00000000
10000,       200,        0.0029,    1.27510156,   79.21025641,   79.21025641,    0.00000000,        16,      1000,         0,         10000,       364,    0.02500000
10000,       200,        0.0909,    1.60713397,   63.23500000,   63.23500000,    0.00000000,        16,      1000,         0,         10000,      7062,    0.00000000
10000,       200,        0.1208,    1.65808130,   60.73000000,   60.73000000,    0.00000000,        16,      1000,         0,         10000,      8815,    0.00000000
10000,       200,        0.0313,    1.44567151,   70.27500000,   70.27500000,    0.00000000,        16,      1000,         0,         10000,      2903,    0.00000000
10000,       200,        0.0030,    1.26311829,   73.20603015,   73.20603015,    0.00000000,        16,      1000,         0,         10000,       372,    0.00500000
10000,       200,        0.0611,    1.52585720,   66.33500000,   66.33500000,    0.00000000,        16,      1000,         0,         10000,      5062,    0.00000000
10000,       200,        0.0314,    1.44581292,   69.65000000,   69.65000000,    0.00000000,        16,      1000,         0,         10000,      2911,    0.00000000
10000,       200,        0.0031,    1.27410621,   76.32828283,   76.32828283,    0.00000000,        16,      1000,         0,         10000,       386,    0.01000000
10000,       200,        0.0910,    1.60739940,   62.90500000,   62.90500000,    0.00000000,        16,      1000,         0,         10000,      7069,    0.00000000
10000,       200,        0.1209,    1.66137547,   60.28000000,   60.28000000,    0.00000000,        16,      1000,         0,         10000,      8837,    0.00000000
10000,       200,        0.0612,    1.52566677,   66.76000000,   66.76000000,    0.00000000,        16,      1000,         0,         10000,      5068,    0.00000000
10000,       200,        0.0032,    1.27337991,   76.31658291,   76.31658291,    0.00000000,        16,      1000,         0,         10000,       396,    0.00500000
10000,       200,        0.0315,    1.43979680,   69.28500000,   69.28500000,    0.00000000,        16,      1000,         0,         10000,      2906,    0.00000000
10000,       200,        0.0033,    1.26262658,   77.42857143,   77.42857143,    0.00000000,        16,      1000,         0,         10000,       403,    0.02000000
10000,       200,        0.0911,    1.60819104,   62.35000000,   62.35000000,    0.00000000,        16,      1000,         0,         10000,      7078,    0.00000000
10000,       200,        0.0316,    1.43805848,   68.87000000,   68.87000000,    0.00000000,        16,      1000,         0,         10000,      2909,    0.00000000
10000,       200,        0.0613,    1.52183676,   66.22500000,   66.22500000,    0.00000000,        16,      1000,         0,         10000,      5061,    0.00000000
10000,       200,        0.1210,    1.66228315,   60.72500000,   60.72500000,    0.00000000,        16,      1000,         0,         10000,      8847,    0.00000000
10000,       200,        0.0034,    1.29023840,   80.60000000,   80.60000000,    0.00000000,        16,      1000,         0,         10000,       422,    0.00000000
10000,       200,        0.0317,    1.44528946,   68.77000000,   68.77000000,    0.00000000,        16,      1000,         0,         10000,      2931,    0.00000000
10000,       200,        0.0035,    1.29546998,   81.03571429,   81.03571429,    0.00000000,        16,      1000,         0,         10000,       435,    0.02000000
10000,       200,        0.0912,    1.60969502,   62.53500000,   62.53500000,    0.00000000,        16,      1000,         0,         10000,      7090,    0.00000000
10000,       200,        0.0614,    1.53213351,   67.12500000,   67.12500000,    0.00000000,        16,      1000,         0,         10000,      5101,    0.00000000
10000,       200,        0.1211,    1.66359778,   61.03500000,   61.03500000,    0.00000000,        16,      1000,         0,         10000,      8858,    0.00000000
10000,       200,        0.0036,    1.29629771,   77.89500000,   77.89500000,    0.00000000,        16,      1000,         0,         10000,       446,    0.00000000
10000,       200,        0.0318,    1.43504008,   68.73500000,   68.73500000,    0.00000000,        16,      1000,         0,         10000,      2918,    0.00000000
10000,       200,        0.0037,    1.30069751,   78.46500000,   78.46500000,    0.00000000,        16,      1000,         0,         10000,       458,    0.00000000
10000,       200,        0.0615,    1.53141185,   67.30500000,   67.30500000,    0.00000000,        16,      1000,         0,         10000,      5105,    0.00000000
10000,       200,        0.0913,    1.60904331,   62.62500000,   62.62500000,    0.00000000,        16,      1000,         0,         10000,      7092,    0.00000000
10000,       200,        0.0319,    1.44328518,   69.38000000,   69.38000000,    0.00000000,        16,      1000,         0,         10000,      2941,    0.00000000
