code_n, n_tries,          qber,        f_mean,  c_iters_mean,  n_iters_mean,             R,  pass/s_n,  kost/p_n,   p_n_max,   correct/k_n,   discl_n,           FER 
10000,       200,        0.0001,    1.33643735,    8.30319149,    8.30319149,    0.00000000,         1,       100,         0,         10000,        19,    0.06000000
10000,       200,        0.0002,    1.31504042,    9.61170213,    9.61170213,    0.00000000,         1,       100,         0,         10000,        36,    0.06000000
10000,       200,        0.0003,    1.30135940,   10.05714286,   10.05714286,    0.00000000,         1,       100,         0,         10000,        51,    0.12500000
10000,       200,        0.0004,    1.33505198,    9.82716049,    9.82716049,    0.00000000,         1,       100,         0,         10000,        67,    0.19000000
10000,       200,        0.0005,    1.36996537,    9.96732026,    9.96732026,    0.00000000,         1,       100,         0,         10000,        84,    0.23500000
10000,       200,        0.0006,    1.39095477,    9.89743590,    9.89743590,    0.00000000,         1,       100,         0,         10000,       101,    0.22000000
10000,       200,        0.0007,    1.38694861,    9.79310345,    9.79310345,    0.00000000,         1,       100,         0,         10000,       115,    0.27500000
10000,       200,        0.1201,    2.26735388,    2.00000000,    2.00000000,    0.00000000,         1,       100,         0,         10000,     12009,    0.00000000
10000,       200,        0.0008,    1.39910461,    9.00000000,    9.00000000,    0.00000000,         1,       100,         0,         10000,       131,    0.34500000
10000,       200,        0.0009,    1.40714207,    9.00000000,    9.00000000,    0.00000000,         1,       100,         0,         10000,       146,    0.34500000
10000,       200,        0.0010,    1.42037604,    9.00000000,    9.00000000,    0.00000000,         1,       100,         0,         10000,       162,    0.39500000
10000,       200,        0.0011,    1.42022956,    8.99236641,    8.99236641,    0.00000000,         1,       100,         0,         10000,       176,    0.34500000
10000,       200,        0.0012,    1.45349149,    9.00000000,    9.00000000,    0.00000000,         1,       100,         0,         10000,       194,    0.42500000
10000,       200,        0.0013,    1.43268937,    8.96610169,    8.96610169,    0.00000000,         1,       100,         0,         10000,       205,    0.41000000
10000,       200,        0.0014,    1.45687380,    8.92592593,    8.92592593,    0.00000000,         1,       100,         0,         10000,       222,    0.46000000
10000,       200,        0.0015,    1.44245713,    8.78846154,    8.78846154,    0.00000000,         1,       100,         0,         10000,       234,    0.48000000
10000,       200,        0.1202,    2.26801192,    2.00000000,    2.00000000,    0.00000000,         1,       100,         0,         10000,     12019,    0.00000000
10000,       200,        0.0016,    1.45353971,    8.00000000,    8.00000000,    0.00000000,         1,       100,         0,         10000,       249,    0.52500000
10000,       200,        0.0017,    1.45892710,    8.00000000,    8.00000000,    0.00000000,         1,       100,         0,         10000,       263,    0.55000000
10000,       200,        0.0018,    1.44845523,    8.00000000,    8.00000000,    0.00000000,         1,       100,         0,         10000,       275,    0.53500000
10000,       200,        0.0019,    1.46102148,    8.00000000,    8.00000000,    0.00000000,         1,       100,         0,         10000,       290,    0.60500000
10000,       200,        0.0020,    1.46141786,    8.00000000,    8.00000000,    0.00000000,         1,       100,         0,         10000,       304,    0.64000000
10000,       200,        0.0021,    1.48000819,    8.00000000,    8.00000000,    0.00000000,         1,       100,         0,         10000,       321,    0.60000000
10000,       200,        0.0022,    1.47228485,    8.00000000,    8.00000000,    0.00000000,         1,       100,         0,         10000,       332,    0.61000000
10000,       200,        0.0023,    1.46305803,    8.00000000,    8.00000000,    0.00000000,         1,       100,         0,         10000,       343,    0.62000000
10000,       200,        0.0024,    1.48104401,    8.00000000,    8.00000000,    0.00000000,         1,       100,         0,         10000,       360,    0.66000000
10000,       200,        0.0025,    1.49325292,    8.00000000,    8.00000000,    0.00000000,         1,       100,         0,         10000,       376,    0.67500000
10000,       200,        0.1203,    2.26866984,    2.00000000,    2.00000000,    0.00000000,         1,       100,         0,         10000,     12029,    0.00000000
