code_n, n_tries,          qber,        f_mean,  c_iters_mean,  n_iters_mean,             R,       s_n,       p_n,   p_n_max,           k_n,   discl_n,           FER 
4000,        20,        0.0010,    5.22442820,    4.40000000,   17.20000000,    0.90000000,         0,       359,       192,          3641,        40,    0.00000000
4000,        20,        0.0020,    2.87534618,    3.60000000,   17.60000000,    0.90000000,         0,       324,       192,          3676,        40,    0.00000000
4000,        20,        0.0030,    2.04058909,    2.85000000,   17.15000000,    0.90000000,         0,       291,       192,          3709,        40,    0.00000000
4000,        20,        0.0040,    1.74830607,    2.65000000,   16.20000000,    0.90000000,         0,       260,       192,          3740,        40,    0.00000000
4000,        20,        0.0050,    1.58240039,    2.50000000,   16.70000000,    0.90000000,         0,       229,       192,          3771,        40,    0.00000000
4000,        20,        0.0060,    1.47665527,    2.40000000,   15.05000000,    0.90000000,         0,       199,       192,          3801,        40,    0.00000000
4000,        20,        0.0070,    1.42323768,    2.45000000,    8.40000000,    0.90000000,         0,       170,       192,          3830,        40,    0.00000000
4000,        20,        0.0080,    1.36850090,    2.40000000,    7.70000000,    0.90000000,         0,       141,       192,          3859,        40,    0.00000000
4000,        20,        0.0090,    1.40250684,    2.90000000,    7.35000000,    0.90000000,         0,       112,       192,          3888,        40,    0.00000000
4000,        20,        0.0100,    1.28324295,    2.25000000,    8.70000000,    0.90000000,         0,        84,       192,          3916,        40,    0.00000000
4000,        20,        0.0110,    1.27715414,    2.40000000,    6.40000000,    0.90000000,         0,        56,       192,          3944,        40,    0.00000000
4000,        20,        0.0120,    1.24031555,    2.25000000,    8.85000000,    0.90000000,         0,        28,       192,          3972,        40,    0.00000000
4000,        20,        0.0130,    1.29990883,    3.00000000,    9.30000000,    0.90000000,         3,         0,       192,          3997,        40,    0.00000000
4000,        20,        0.0140,    1.23879099,    2.20000000,   15.00000000,    0.85000000,         0,       196,       266,          3804,        44,    0.00000000
4000,        20,        0.0150,    1.27015399,    2.65000000,   15.30000000,    0.85000000,         0,       170,       266,          3830,        44,    0.00000000
4000,        20,        0.0160,    1.26918001,    2.80000000,   12.25000000,    0.85000000,         0,       144,       266,          3856,        44,    0.00000000
4000,        20,        0.0170,    1.25474453,    2.80000000,   13.50000000,    0.85000000,         0,       118,       266,          3882,        44,    0.00000000
4000,        20,        0.0180,    1.20723245,    2.40000000,   12.80000000,    0.85000000,         0,        92,       266,          3908,        44,    0.00000000
4000,        20,        0.0190,    1.26321713,    3.20000000,   12.05000000,    0.85000000,         0,        66,       266,          3934,        44,    0.00000000
4000,        20,        0.0200,    1.21977228,    2.80000000,   13.25000000,    0.85000000,         0,        40,       266,          3960,        44,    0.00000000
4000,        20,        0.0210,    1.18016878,    2.40000000,   11.60000000,    0.85000000,         0,        14,       266,          3986,        44,    0.00000000
4000,        20,        0.0220,    1.27490967,    3.75000000,   12.90000000,    0.85000000,        66,         0,       266,          3934,        44,    0.00000000
4000,        20,        0.0230,    1.21543183,    2.70000000,   17.90000000,    0.80000000,         0,       200,       373,          3800,        48,    0.00000000
4000,        20,        0.0240,    1.19109873,    2.50000000,   17.50000000,    0.80000000,         0,       176,       373,          3824,        48,    0.00000000
4000,        20,        0.0250,    1.19936672,    2.70000000,   19.55000000,    0.80000000,         0,       151,       373,          3849,        48,    0.00000000
4000,        20,        0.0260,    1.20579412,    2.90000000,   16.85000000,    0.80000000,         0,       127,       373,          3873,        48,    0.00000000
4000,        20,        0.0270,    1.19221637,    2.80000000,   18.75000000,    0.80000000,         0,       102,       373,          3898,        48,    0.00000000
4000,        20,        0.0280,    1.17508675,    2.65000000,   18.55000000,    0.80000000,         0,        78,       373,          3922,        48,    0.00000000
4000,        20,        0.0290,    1.20181156,    3.15000000,   18.15000000,    0.80000000,         0,        53,       373,          3947,        48,    0.00000000
4000,        20,        0.0300,    1.17701232,    2.85000000,   17.60000000,    0.80000000,         0,        28,       373,          3972,        48,    0.00000000
4000,        20,        0.0310,    1.19186938,    3.20000000,   16.00000000,    0.80000000,         0,         4,       373,          3996,        48,    0.00000000
4000,        20,        0.0320,    1.19779726,    3.30000000,   15.70000000,    0.80000000,        84,         0,       373,          3916,        48,    0.00000000
