code_n, n_tries,          qber,        f_mean,  c_iters_mean,  n_iters_mean,             R,       s_n,       p_n,   p_n_max,           k_n,   discl_n,           FER 
1944,        20,        0.0270,    1.28459010,    4.20000000,    6.65000000,    0.83330000,       134,         0,       152,          1810,        22,    0.00000000
1944,        20,        0.0470,    1.15681190,    3.05000000,   17.25000000,    0.75000000,       167,         0,       227,          1777,        25,    0.00000000
1944,        20,        0.0100,    1.74031240,    3.80000000,   20.60000000,    0.75000000,         0,       358,       227,          1586,        25,    0.00000000
1944,        20,        0.0280,    1.24420520,    3.60000000,    5.90000000,    0.83330000,       185,         0,       152,          1759,        22,    0.00000000
1944,        20,        0.0300,    1.35047781,    3.80000000,   23.85000000,    0.66670000,         0,       336,       302,          1608,        29,    0.00000000
1944,        20,        0.0480,    1.18465074,    3.60000000,   13.30000000,    0.75000000,       194,         0,       227,          1750,        25,    0.00000000
1944,        20,        0.0700,    1.17999618,    2.90000000,   30.70000000,    0.50000000,         0,       412,       439,          1532,        35,    0.00000000
1944,        20,        0.0290,    1.25756345,    3.80000000,    7.25000000,    0.83330000,       232,         0,       152,          1712,        22,    0.00000000
1944,        20,        0.0300,    1.23352415,    3.45000000,    7.50000000,    0.83330000,       276,         0,       152,          1668,        22,    0.00000000
1944,        20,        0.0110,    1.68636764,    3.85000000,   22.95000000,    0.75000000,         0,       347,       227,          1597,        25,    0.00000000
1944,        20,        0.0490,    1.17975848,    3.50000000,   13.95000000,    0.75000000,       221,         0,       227,          1723,        25,    0.00000000
1944,        20,        0.0310,    1.34403126,    3.85000000,   21.50000000,    0.66670000,         0,       326,       302,          1618,        29,    0.00000000
1944,        20,        0.0310,    1.24389354,    3.60000000,    6.30000000,    0.83330000,       318,         0,       152,          1626,        22,    0.00000000
1944,        20,        0.0710,    1.13715751,    2.25000000,   32.35000000,    0.50000000,         0,       403,       439,          1541,        35,    0.00000000
1944,        20,        0.0500,    1.16971545,    3.30000000,   13.15000000,    0.75000000,       247,         0,       227,          1697,        25,    0.00000000
1944,        20,        0.0120,    1.59985539,    3.65000000,   19.40000000,    0.75000000,         0,       336,       227,          1608,        25,    0.00000000
1944,        20,        0.0320,    1.23345706,    3.45000000,    8.35000000,    0.83330000,       357,         0,       152,          1587,        22,    0.00000000
1944,        20,        0.0510,    1.18978171,    3.70000000,   13.30000000,    0.75000000,       271,         0,       227,          1673,        25,    0.00000000
1944,        20,        0.0330,    1.24772172,    3.65000000,    5.35000000,    0.83330000,       395,         0,       152,          1549,        22,    0.00000000
1944,        20,        0.0320,    1.28121837,    3.25000000,   23.70000000,    0.66670000,         0,       316,       302,          1628,        29,    0.00000000
1944,        20,        0.0720,    1.16612313,    2.75000000,   30.80000000,    0.50000000,         0,       393,       439,          1551,        35,    0.00000000
1944,        20,        0.0340,    1.24424660,    3.60000000,    8.65000000,    0.83330000,       430,         0,       152,          1514,        22,    0.00000000
1944,        20,        0.0130,    1.55427987,    3.60000000,   22.45000000,    0.75000000,         0,       324,       227,          1620,        25,    0.00000000
1944,        20,        0.0520,    1.18217698,    3.55000000,   13.60000000,    0.75000000,       295,         0,       227,          1649,        25,    0.00000000
1944,        20,        0.0350,    1.27118538,    4.00000000,    6.60000000,    0.83330000,       463,         0,       152,          1481,        22,    0.00000000
1944,        20,        0.0330,    1.24739212,    2.95000000,   25.55000000,    0.66670000,         0,       306,       302,          1638,        29,    0.00000000
1944,        20,        0.0530,    1.19244807,    3.75000000,   11.40000000,    0.75000000,       318,         0,       227,          1626,        25,    0.00000000
1944,        20,        0.0360,    1.28088155,    4.15000000,    6.65000000,    0.83330000,       494,         0,       152,          1450,        22,    0.00000000
1944,        20,        0.0140,    1.47404645,    3.30000000,   24.00000000,    0.75000000,         0,       313,       227,          1631,        25,    0.00000000
1944,        20,        0.0730,    1.16338938,    2.75000000,   28.25000000,    0.50000000,         0,       384,       439,          1560,        35,    0.00000000
1944,        20,        0.0340,    1.22161842,    2.70000000,   19.50000000,    0.66670000,         0,       295,       302,          1649,        29,    0.00000000
1944,        20,        0.0370,    1.20965995,    3.10000000,    7.65000000,    0.83330000,       524,         0,       152,          1420,        22,    0.00000000
1944,        20,        0.0540,    1.18970462,    3.70000000,   14.45000000,    0.75000000,       340,         0,       227,          1604,        25,    0.00000000
1944,        20,        0.0150,    1.47157434,    3.50000000,   17.35000000,    0.75000000,         0,       302,       227,          1642,        25,    0.00000000
1944,        20,        0.0380,    1.25079050,    3.70000000,    7.45000000,    0.83330000,       553,         0,       152,          1391,        22,    0.00000000
1944,        20,        0.0550,    1.19008791,    3.70000000,   13.05000000,    0.75000000,       362,         0,       227,          1582,        25,    0.00000000
1944,        20,        0.0350,    1.23110123,    2.90000000,   19.40000000,    0.66670000,         0,       285,       302,          1659,        29,    0.00000000
1944,        20,        0.0390,    1.21331436,    3.15000000,    7.80000000,    0.83330000,       580,         0,       152,          1364,        22,    0.00000000
1944,        20,        0.0740,    1.15188547,    2.60000000,   33.30000000,    0.50000000,         0,       375,       439,          1569,        35,    0.00000000
1944,        20,        0.0160,    1.48237076,    3.80000000,   18.35000000,    0.75000000,         0,       291,       227,          1653,        25,    0.00000000
1944,        20,        0.0400,    1.25410601,    3.75000000,    7.50000000,    0.83330000,       606,         0,       152,          1338,        22,    0.00000000
1944,        20,        0.0560,    1.19797414,    3.85000000,   11.25000000,    0.75000000,       383,         0,       227,          1561,        25,    0.00000000
1944,        20,        0.0360,    1.24775699,    3.20000000,   16.95000000,    0.66670000,         0,       275,       302,          1669,        29,    0.00000000
1944,        20,        0.0410,    1.27131356,    4.00000000,    6.95000000,    0.83330000,       631,         0,       152,          1313,        22,    0.00000000
1944,        20,        0.0570,    1.19789537,    3.85000000,   13.10000000,    0.75000000,       403,         0,       227,          1541,        25,    0.00000000
1944,        20,        0.0170,    1.43169436,    3.60000000,   21.25000000,    0.75000000,         0,       280,       227,          1664,        25,    0.00000000
1944,        20,        0.0420,    1.23674466,    3.50000000,    7.45000000,    0.83330000,       654,         0,       152,          1290,        22,    0.00000000
1944,        20,        0.0750,    1.18395178,    3.20000000,   28.75000000,    0.50000000,         0,       366,       439,          1578,        35,    0.00000000
1944,        20,        0.0580,    1.17696315,    3.45000000,   12.30000000,    0.75000000,       422,         0,       227,          1522,        25,    0.00000000
1944,        20,        0.0370,    1.22184886,    2.95000000,   20.65000000,    0.66670000,         0,       265,       302,          1679,        29,    0.00000000
1944,        20,        0.0430,    1.21333098,    3.15000000,   10.05000000,    0.83330000,       677,         0,       152,          1267,        22,    0.00000000
1944,        20,        0.0180,    1.39202201,    3.45000000,   17.05000000,    0.75000000,         0,       269,       227,          1675,        25,    0.00000000
1944,        20,        0.0440,    1.22719917,    3.35000000,    7.25000000,    0.83330000,       699,         0,       152,          1245,        22,    0.00000000
1944,        20,        0.0590,    1.17964298,    3.50000000,   14.00000000,    0.75000000,       441,         0,       227,          1503,        25,    0.00000000
1944,        20,        0.0380,    1.23035403,    3.15000000,   16.15000000,    0.66670000,         0,       255,       302,          1689,        29,    0.00000000
1944,        20,        0.0760,    1.17608676,    3.10000000,   31.65000000,    0.50000000,         0,       356,       439,          1588,        35,    0.00000000
1944,        20,        0.0450,    1.26133789,    3.85000000,    6.65000000,    0.83330000,       720,         0,       152,          1224,        22,    0.00000000
1944,        20,        0.0190,    1.42529706,    3.90000000,   20.55000000,    0.75000000,         0,       257,       227,          1687,        25,    0.00000000
1944,        20,        0.0600,    1.13828999,    2.70000000,   14.40000000,    0.75000000,       459,         0,       227,          1485,        25,    0.00000000
1944,        20,        0.0460,    1.25693353,    3.80000000,    8.55000000,    0.83330000,       739,         0,       152,          1205,        22,    0.00000000
1944,        20,        0.0390,    1.16832502,    2.35000000,   19.05000000,    0.66670000,         0,       244,       302,          1700,        29,    0.00000000
1944,        20,        0.0470,    1.23402550,    3.45000000,    8.60000000,    0.83330000,       759,         0,       152,          1185,        22,    0.00000000
1944,        20,        0.0610,    1.16678141,    3.25000000,   13.00000000,    0.75000000,       477,         0,       227,          1467,        25,    0.00000000
1944,        20,        0.0200,    1.41568724,    4.00000000,   15.40000000,    0.75000000,         0,       246,       227,          1698,        25,    0.00000000
1944,        20,        0.0770,    1.17032012,    3.05000000,   35.50000000,    0.50000000,         0,       347,       439,          1597,        35,    0.00000000
1944,        20,        0.0480,    1.24372784,    3.60000000,    7.40000000,    0.83330000,       777,         0,       152,          1167,        22,    0.00000000
1944,        20,        0.0400,    1.23005319,    3.30000000,   19.70000000,    0.66670000,         0,       234,       302,          1710,        29,    0.00000000
1944,        20,        0.0620,    1.16404948,    3.20000000,   13.00000000,    0.75000000,       494,         0,       227,          1450,        25,    0.00000000
1944,        20,        0.0490,    1.21683920,    3.20000000,    7.80000000,    0.83330000,       795,         0,       152,          1149,        22,    0.00000000
1944,        20,        0.0210,    1.31240892,    3.15000000,   15.95000000,    0.75000000,         0,       235,       227,          1709,        25,    0.00000000
