code_n, n_tries,          qber,        f_mean,  c_iters_mean,  n_iters_mean,             R,       s_n,       p_n,   p_n_max,           k_n,   discl_n,           FER 
1944,        20,        0.0200,    1.22472260,    5.65000000,   10.80000000,    0.83330000,         0,       135,       152,          1809,        22,    0.00000000
1944,        20,        0.0200,    1.23436837,    6.40000000,    7.90000000,    0.83330000,         0,       152,       152,          1792,        22,    0.00000000
1944,        20,        0.0200,    1.23655193,    5.15000000,    7.60000000,    0.83330000,         0,       118,       152,          1826,        22,    0.00000000
1944,        20,        0.0200,    1.24816304,    4.65000000,    8.30000000,    0.83330000,         0,       101,       152,          1843,        22,    0.00000000
1944,        20,        0.0200,    1.27210564,    4.30000000,    7.40000000,    0.83330000,         0,        84,       152,          1860,        22,    0.00000000
1944,        20,        0.0200,    1.27904103,    3.75000000,    8.20000000,    0.83330000,         0,        67,       152,          1877,        22,    0.00000000
1944,        20,        0.0200,    1.28995812,    3.25000000,    7.35000000,    0.83330000,         0,        50,       152,          1894,        22,    0.00000000
1944,        20,        0.0200,    1.29661131,    2.70000000,    8.40000000,    0.83330000,         0,        33,       152,          1911,        22,    0.00000000
1944,        20,        0.0200,    1.31860726,    1.75000000,    8.80000000,    0.83330000,         0,         0,       152,          1944,        22,    0.00000000
1944,        20,        0.0200,    1.32260784,    1.80000000,    9.25000000,    0.83330000,         0,         0,       152,          1944,        22,    0.00000000
1944,        20,        0.0200,    1.32734982,    2.45000000,    7.25000000,    0.83330000,         0,        16,       152,          1928,        22,    0.00000000
1944,        20,        0.0200,    1.35375272,    2.05000000,    6.30000000,    0.83330000,        16,         0,       152,          1928,        22,    0.00000000
1944,        20,        0.0200,    1.35680720,    1.80000000,    6.75000000,    0.83330000,        49,         0,       152,          1895,        22,    0.00000000
1944,        20,        0.0200,    1.36579552,    2.05000000,    6.40000000,    0.83330000,        33,         0,       152,          1911,        22,    0.00000000
1944,        20,        0.0200,    1.37667697,    1.75000000,    6.35000000,    0.83330000,        82,         0,       152,          1862,        22,    0.00000000
1944,        20,        0.0200,    1.37737161,    1.90000000,    7.35000000,    0.83330000,        66,         0,       152,          1878,        22,    0.00000000
1944,        20,        0.0200,    1.38093132,    1.65000000,    9.05000000,    0.83330000,        99,         0,       152,          1845,        22,    0.00000000
1944,        20,        0.0200,    1.38450740,    1.55000000,    6.50000000,    0.83330000,       115,         0,       152,          1829,        22,    0.00000000
1944,        20,        0.0200,    1.38829535,    1.30000000,    7.25000000,    0.83330000,       148,         0,       152,          1796,        22,    0.00000000
1944,        20,        0.0200,    1.39222510,    1.05000000,    7.45000000,    0.83330000,       181,         0,       152,          1763,        22,    0.00000000
1944,        20,        0.0200,    1.40608073,    1.65000000,    5.25000000,    0.83330000,       132,         0,       152,          1812,        22,    0.00000000
1944,        20,        0.0200,    1.41030505,    1.40000000,    7.10000000,    0.83330000,       165,         0,       152,          1779,        22,    0.00000000
1944,        20,        0.0200,    1.42359755,    1.25000000,    5.15000000,    0.83330000,       198,         0,       152,          1746,        22,    0.00000000
1944,        20,        0.0200,    1.43226833,    1.20000000,    4.55000000,    0.83330000,       214,         0,       152,          1730,        22,    0.00000000
1944,        20,        0.0200,    1.43720602,    0.95000000,    5.95000000,    0.83330000,       247,         0,       152,          1697,        22,    0.00000000
1944,        20,        0.0200,    1.43740220,    1.10000000,    5.40000000,    0.83330000,       231,         0,       152,          1713,        22,    0.00000000
1944,        20,        0.0200,    1.44320686,    0.70000000,    4.60000000,    0.83330000,       281,         0,       152,          1663,        22,    0.00000000
1944,        20,        0.0200,    1.44711993,    0.90000000,    4.20000000,    0.83330000,       264,         0,       152,          1680,        22,    0.00000000
1944,        20,        0.0200,    1.46292900,    0.45000000,    2.20000000,    0.83330000,       330,         0,       152,          1614,        22,    0.00000000
1944,        20,        0.0200,    1.47611505,    0.90000000,    6.35000000,    0.83330000,       297,         0,       152,          1647,        22,    0.00000000
1944,        20,        0.0200,    1.48673888,    0.85000000,    3.45000000,    0.83330000,       314,         0,       152,          1630,        22,    0.00000000
1944,        20,        0.0200,    1.48824149,    0.55000000,    2.30000000,    0.83330000,       347,         0,       152,          1597,        22,    0.00000000
1944,        20,        0.0200,    1.48980750,    0.25000000,    1.10000000,    0.83330000,       380,         0,       152,          1564,        22,    0.00000000
1944,        20,        0.0200,    1.50330275,    0.55000000,    2.60000000,    0.83330000,       363,         0,       152,          1581,        22,    0.00000000
1944,        20,        0.0200,    1.51525399,    0.35000000,    1.95000000,    0.83330000,       396,         0,       152,          1548,        22,    0.00000000
1944,        20,        0.0200,    1.54312611,    0.30000000,    1.20000000,    0.83330000,       429,         0,       152,          1515,        22,    0.00000000
1944,        20,        0.0200,    1.54731844,    0.50000000,    1.45000000,    0.83330000,       413,         0,       152,          1531,        22,    0.00000000
1944,        20,        0.0200,    1.56174406,    0.15000000,    1.00000000,    0.83330000,       462,         0,       152,          1482,        22,    0.00000000
1944,        20,        0.0200,    1.57455807,    0.10000000,    0.50000000,    0.83330000,       479,         0,       152,          1465,        22,    0.00000000
