code_n, n_tries,          qber,        f_mean,  c_iters_mean,  n_iters_mean,             R,       s_n,       p_n,   p_n_max,           k_n,   discl_n,           FER 
1944,        20,        0.0010,    4.96977744,    3.40000000,   21.20000000,    0.83330000,         0,       306,       152,          1638,        22,    0.00000000
1944,        20,        0.0020,    2.97052786,    3.10000000,   18.75000000,    0.83330000,         0,       290,       152,          1654,        22,    0.00000000
1944,        20,        0.0030,    2.38461823,    3.10000000,   17.25000000,    0.83330000,         0,       275,       152,          1669,        22,    0.00000000
1944,        20,        0.0040,    2.17732491,    3.40000000,   16.30000000,    0.83330000,         0,       261,       152,          1683,        22,    0.00000000
1944,        20,        0.0240,    1.27077109,    3.90000000,    7.35000000,    0.83330000,         0,         8,       152,          1936,        22,    0.00000000
1944,        20,        0.0250,    1.24739921,    3.65000000,    6.90000000,    0.83330000,        22,         0,       152,          1922,        22,    0.00000000
1944,        20,        0.0260,    1.22698178,    3.35000000,    7.30000000,    0.83330000,        80,         0,       152,          1864,        22,    0.00000000
1944,        20,        0.0270,    1.24387456,    3.60000000,    6.50000000,    0.83330000,       134,         0,       152,          1810,        22,    0.00000000
1944,        20,        0.0280,    1.25351653,    3.35000000,   12.65000000,    0.75000000,         0,       157,       227,          1787,        25,    0.00000000
1944,        20,        0.0290,    1.23731614,    3.25000000,   14.90000000,    0.75000000,         0,       146,       227,          1798,        25,    0.00000000
1944,        20,        0.0300,    1.23629739,    3.35000000,   16.00000000,    0.75000000,         0,       135,       227,          1809,        25,    0.00000000
1944,        20,        0.0310,    1.22701875,    3.30000000,   15.05000000,    0.75000000,         0,       123,       227,          1821,        25,    0.00000000
1944,        20,        0.0320,    1.24625057,    3.70000000,   12.55000000,    0.75000000,         0,       112,       227,          1832,        25,    0.00000000
1944,        20,        0.0330,    1.22862599,    3.55000000,   13.00000000,    0.75000000,         0,       101,       227,          1843,        25,    0.00000000
1944,        20,        0.0390,    1.19427450,    3.55000000,   12.50000000,    0.75000000,         0,        32,       227,          1912,        25,    0.00000000
1944,        20,        0.0500,    1.18090539,    3.25000000,   20.90000000,    0.66670000,         0,       128,       302,          1816,        29,    0.00000000
1944,        20,        0.0510,    1.17741620,    3.25000000,   19.05000000,    0.66670000,         0,       117,       302,          1827,        29,    0.00000000
1944,        20,        0.0520,    1.18080850,    3.40000000,   18.15000000,    0.66670000,         0,       107,       302,          1837,        29,    0.00000000
1944,        20,        0.0530,    1.16418192,    3.15000000,   19.15000000,    0.66670000,         0,        96,       302,          1848,        29,    0.00000000
1944,        20,        0.0540,    1.16356127,    3.20000000,   16.90000000,    0.66670000,         0,        85,       302,          1859,        29,    0.00000000
