code_n, n_tries,          qber,        f_mean,  c_iters_mean,  n_iters_mean,             R,       s_n,       p_n,   p_n_max,           k_n,   discl_n,           FER 
1944,        20,        0.0200,    1.17858711,    0.00000000,    0.00000000,    0.83330000,         0,         0,       152,          1944,        22,    0.95000000
1944,        20,        0.0200,    1.12969481,    0.00000000,    0.00000000,    0.83330000,         0,        16,       152,          1928,        22,    0.95000000
1944,        20,        0.1000,    1.06610810,    0.00000000,    0.00000000,    0.50000000,         0,         0,       439,          1944,        35,    1.00000000
1944,        20,        0.0200,    1.07684969,    0.00000000,    0.00000000,    0.83330000,         0,        33,       152,          1911,        22,    1.00000000
4000,        20,        0.0200,    1.06051629,    0.00000000,    0.00000000,    0.85000000,         0,         0,       266,          4000,        44,    1.00000000
1944,        20,        0.0200,    1.02305592,    0.00000000,    0.00000000,    0.83330000,         0,        50,       152,          1894,        22,    0.95000000
1944,        20,        0.0200,    0.96828773,    0.00000000,    0.00000000,    0.83330000,         0,        67,       152,          1877,        22,    1.00000000
1944,        20,        0.1000,    1.05781799,    0.00000000,    0.00000000,    0.50000000,         0,        15,       439,          1929,        35,    0.90000000
1944,        20,        0.0200,    0.91251839,    0.00000000,    0.00000000,    0.83330000,         0,        84,       152,          1860,        22,    1.00000000
4000,        20,        0.1000,    1.06610810,    0.00000000,    0.00000000,    0.50000000,         0,         0,       864,          4000,        72,    0.95000000
4000,        20,        0.0200,    1.01662856,    0.00000000,    0.00000000,    0.85000000,         0,        29,       266,          3971,        44,    1.00000000
1944,        20,        0.0200,    0.85572022,    0.00000000,    0.00000000,    0.83330000,         0,       101,       152,          1843,        22,    1.00000000
1944,        20,        0.1000,    1.04939794,    0.00000000,    0.00000000,    0.50000000,         0,        30,       439,          1914,        35,    1.00000000
1944,        20,        0.0200,    0.79786447,    0.00000000,    0.00000000,    0.83330000,         0,       118,       152,          1826,        22,    1.00000000
4000,        20,        0.1000,    1.21840925,    0.00000000,    0.00000000,    0.50000000,       500,         0,       864,          3500,        72,    0.05000000
1944,        20,        0.0200,    0.73892132,    0.00000000,    0.00000000,    0.83330000,         0,       135,       152,          1809,        22,    1.00000000
1944,        20,        0.1000,    1.04084487,    0.00000000,    0.00000000,    0.50000000,         0,        45,       439,          1899,        35,    1.00000000
1944,        20,        0.0200,    0.67885984,    0.00000000,    0.00000000,    0.83330000,         0,       152,       152,          1792,        22,    1.00000000
4000,        20,        0.0200,    0.97054777,    0.00000000,    0.00000000,    0.85000000,         0,        59,       266,          3941,        44,    1.00000000
1944,        20,        0.0200,    1.18836791,    0.00000000,    0.00000000,    0.83330000,        16,         0,       152,          1928,        22,    0.85000000
1944,        20,        0.1000,    1.03215561,    0.00000000,    0.00000000,    0.50000000,         0,        60,       439,          1884,        35,    0.95000000
1944,        20,        0.0200,    1.13914833,    0.00000000,    0.00000000,    0.83330000,        16,        16,       152,          1912,        22,    1.00000000
1944,        20,        0.0200,    1.08594182,    0.00000000,    0.00000000,    0.83330000,        16,        33,       152,          1895,        22,    0.95000000
1944,        20,        0.1000,    1.02332687,    0.00000000,    0.00000000,    0.50000000,         0,        75,       439,          1869,        35,    1.00000000
4000,        20,        0.0200,    0.92533119,    0.00000000,    0.00000000,    0.85000000,         0,        88,       266,          3912,        44,    1.00000000
1944,        20,        0.0200,    1.03177205,    0.00000000,    0.00000000,    0.83330000,        16,        50,       152,          1878,        22,    1.00000000
1944,        20,        0.0200,    0.97661261,    0.00000000,    0.00000000,    0.83330000,        16,        67,       152,          1861,        22,    0.95000000
1944,        20,        0.1000,    1.01435528,    0.00000000,    0.00000000,    0.50000000,         0,        90,       439,          1854,        35,    1.00000000
1944,        20,        0.0200,    0.92043612,    0.00000000,    0.00000000,    0.83330000,        16,        84,       152,          1844,        22,    1.00000000
4000,        20,        0.1000,    1.05832237,    0.00000000,    0.00000000,    0.50000000,         0,        29,       864,          3971,        72,    0.85000000
1944,        20,        0.0200,    0.86321421,    0.00000000,    0.00000000,    0.83330000,        16,       101,       152,          1827,        22,    1.00000000
4000,        20,        0.0200,    0.87784450,    0.00000000,    0.00000000,    0.85000000,         0,       118,       266,          3882,        44,    1.00000000
4000,        20,        0.1000,    1.21077445,    0.00000000,    0.00000000,    0.50000000,       500,        29,       864,          3471,        72,    0.10000000
1944,        20,        0.0200,    0.80491741,    0.00000000,    0.00000000,    0.83330000,        16,       118,       152,          1810,        22,    1.00000000
1944,        20,        0.1000,    1.00523733,    0.00000000,    0.00000000,    0.50000000,         0,       105,       439,          1839,        35,    0.95000000
1944,        20,        0.0200,    0.74551516,    0.00000000,    0.00000000,    0.83330000,        16,       135,       152,          1793,        22,    1.00000000
1944,        20,        0.0200,    0.68497569,    0.00000000,    0.00000000,    0.83330000,        16,       152,       152,          1776,        22,    1.00000000
4000,        20,        0.0200,    0.83123779,    0.00000000,    0.00000000,    0.85000000,         0,       147,       266,          3853,        44,    1.00000000
1944,        20,        0.1000,    0.99534612,    0.00000000,    0.00000000,    0.50000000,         0,       121,       439,          1823,        35,    0.95000000
1944,        20,        0.0200,    1.19893948,    0.00000000,    0.00000000,    0.83330000,        33,         0,       152,          1911,        22,    0.85000000
1944,        20,        0.0200,    1.14936760,    0.00000000,    0.00000000,    0.83330000,        33,        16,       152,          1895,        22,    1.00000000
1944,        20,        0.1000,    0.98591413,    0.00000000,    0.00000000,    0.50000000,         0,       136,       439,          1808,        35,    1.00000000
