code_n, n_tries,          qber,        f_mean,  c_iters_mean,  n_iters_mean,             R,  pass/s_n,  kost/p_n,   p_n_max,   correct/k_n,   discl_n,           FER 
10000,       200,        0.0001,    0.51151057,    8.02777778,    8.02777778,    0.00000000,         4,       730,         0,         10000,         7,    0.28000000
10000,       200,        0.0002,    0.53549294,   11.60655738,   11.60655738,    0.00000000,         4,       730,         0,         10000,        14,    0.39000000
10000,       200,        0.0301,    1.21070642,   33.00000000,   33.00000000,    0.00000000,         4,       730,         0,         10000,      2359,    0.82000000
10000,       200,        0.0003,    0.79544332,   16.69672131,   16.69672131,    0.00000000,         4,       730,         0,         10000,        31,    0.39000000
10000,       200,        0.0601,    1.27650000,   29.00000000,   29.00000000,    0.00000000,         4,       730,         0,         10000,      4184,    0.95000000
10000,       200,        0.0004,    0.84108742,   18.58095238,   18.58095238,    0.00000000,         4,       730,         0,         10000,        42,    0.47500000
10000,       200,        0.0901,    1.29978349,   27.70000000,   27.70000000,    0.00000000,         4,       730,         0,         10000,      5677,    0.95000000
10000,       200,        0.0302,    1.21693156,   33.00000000,   33.00000000,    0.00000000,         4,       730,         0,         10000,      2377,    0.79000000
10000,       200,        0.1201,    1.36348355,   25.00000000,   25.00000000,    0.00000000,         4,       730,         0,         10000,      7221,    0.98500000
10000,       200,        0.0005,    0.88602040,   24.62307692,   24.62307692,    0.00000000,         4,       730,         0,         10000,        54,    0.35000000
10000,       200,        0.0006,    1.02320868,   28.83225806,   28.83225806,    0.00000000,         4,       730,         0,         10000,        74,    0.22500000
10000,       200,        0.0602,    1.25800358,   29.00000000,   29.00000000,    0.00000000,         4,       730,         0,         10000,      4129,    0.94000000
10000,       200,        0.0303,    1.21592373,   33.00000000,   33.00000000,    0.00000000,         4,       730,         0,         10000,      2381,    0.80500000
10000,       200,        0.0007,    1.03587707,   31.11643836,   31.11643836,    0.00000000,         4,       730,         0,         10000,        86,    0.27000000
10000,       200,        0.0902,    1.29483423,   27.80000000,   27.80000000,    0.00000000,         4,       730,         0,         10000,      5660,    0.97500000
10000,       200,        0.0008,    1.02288367,   31.21678322,   31.21678322,    0.00000000,         4,       730,         0,         10000,        95,    0.28500000
10000,       200,        0.0304,    1.21999723,   33.00000000,   33.00000000,    0.00000000,         4,       730,         0,         10000,      2396,    0.83500000
10000,       200,        0.1202,    1.36294892,   25.00000000,   25.00000000,    0.00000000,         4,       730,         0,         10000,      7222,    0.96000000
10000,       200,        0.0603,    1.28685834,   29.00000000,   29.00000000,    0.00000000,         4,       730,         0,         10000,      4229,    0.92000000
10000,       200,        0.0009,    1.05619188,   33.44230769,   33.44230769,    0.00000000,         4,       730,         0,         10000,       109,    0.22000000
10000,       200,        0.0305,    1.21613354,   33.00000000,   33.00000000,    0.00000000,         4,       730,         0,         10000,      2394,    0.84500000
10000,       200,        0.0903,    1.30877430,   27.75000000,   27.75000000,    0.00000000,         4,       730,         0,         10000,      5725,    0.98000000
10000,       200,        0.0010,    1.03520197,   34.36666667,   34.36666667,    0.00000000,         4,       730,         0,         10000,       118,    0.25000000
10000,       200,        0.0604,    1.27194301,   29.00000000,   29.00000000,    0.00000000,         4,       730,         0,         10000,      4185,    0.94000000
10000,       200,        0.0011,    1.05658679,   34.35897436,   34.35897436,    0.00000000,         4,       730,         0,         10000,       130,    0.22000000
10000,       200,        0.0306,    1.21967036,   33.00000000,   33.00000000,    0.00000000,         4,       730,         0,         10000,      2407,    0.84000000
10000,       200,        0.1203,    1.35795798,   25.00000000,   25.00000000,    0.00000000,         4,       730,         0,         10000,      7200,    0.97500000
10000,       200,        0.0012,    1.07776716,   36.20945946,   36.20945946,    0.00000000,         4,       730,         0,         10000,       144,    0.26000000
10000,       200,        0.0904,    1.30648942,   27.57142857,   27.57142857,    0.00000000,         4,       730,         0,         10000,      5719,    0.96500000
10000,       200,        0.0605,    1.27244688,   29.00000000,   29.00000000,    0.00000000,         4,       730,         0,         10000,      4191,    0.95500000
10000,       200,        0.0307,    1.21303919,   33.00000000,   33.00000000,    0.00000000,         4,       730,         0,         10000,      2400,    0.81500000
10000,       200,        0.0013,    1.03721579,   35.48951049,   35.48951049,    0.00000000,         4,       730,         0,         10000,       148,    0.28500000
10000,       200,        0.0014,    1.03886651,   35.11612903,   35.11612903,    0.00000000,         4,       730,         0,         10000,       158,    0.22500000
10000,       200,        0.0308,    1.23516418,   33.00000000,   33.00000000,    0.00000000,         4,       730,         0,         10000,      2450,    0.78500000
10000,       200,        0.1204,    1.36995646,   25.00000000,   25.00000000,    0.00000000,         4,       730,         0,         10000,      7267,    0.98000000
10000,       200,        0.0606,    1.27773425,   29.00000000,   29.00000000,    0.00000000,         4,       730,         0,         10000,      4214,    0.92000000
10000,       200,        0.0905,    1.29577182,   28.00000000,   28.00000000,    0.00000000,         4,       730,         0,         10000,      5677,    0.98000000
10000,       200,        0.0015,    1.04226071,   35.30303030,   35.30303030,    0.00000000,         4,       730,         0,         10000,       169,    0.34000000
10000,       200,        0.0309,    1.23733738,   33.00000000,   33.00000000,    0.00000000,         4,       730,         0,         10000,      2460,    0.78500000
10000,       200,        0.0016,    1.06429998,   37.02097902,   37.02097902,    0.00000000,         4,       730,         0,         10000,       182,    0.28500000
10000,       200,        0.0607,    1.27319382,   29.00000000,   29.00000000,    0.00000000,         4,       730,         0,         10000,      4204,    0.93500000
10000,       200,        0.0017,    1.05667358,   37.64788732,   37.64788732,    0.00000000,         4,       730,         0,         10000,       191,    0.29000000
10000,       200,        0.0310,    1.23001329,   33.00000000,   33.00000000,    0.00000000,         4,       730,         0,         10000,      2452,    0.82500000
10000,       200,        0.1205,    1.35306119,   25.00000000,   25.00000000,    0.00000000,         4,       730,         0,         10000,      7182,    0.98500000
10000,       200,        0.0906,    1.30535913,   27.30000000,   27.30000000,    0.00000000,         4,       730,         0,         10000,      5723,    0.95000000
10000,       200,        0.0018,    1.07310059,   37.20408163,   37.20408163,    0.00000000,         4,       730,         0,         10000,       203,    0.26500000
10000,       200,        0.0608,    1.27760356,   29.00000000,   29.00000000,    0.00000000,         4,       730,         0,         10000,      4223,    0.94000000
10000,       200,        0.0311,    1.22614135,   33.00000000,   33.00000000,    0.00000000,         4,       730,         0,         10000,      2450,    0.80500000
10000,       200,        0.0019,    1.07100992,   37.48076923,   37.48076923,    0.00000000,         4,       730,         0,         10000,       213,    0.22000000
10000,       200,        0.0907,    1.30214381,   27.50000000,   27.50000000,    0.00000000,         4,       730,         0,         10000,      5713,    0.97000000
10000,       200,        0.0312,    1.21523802,   33.00000000,   33.00000000,    0.00000000,         4,       730,         0,         10000,      2435,    0.82000000
10000,       200,        0.0020,    1.09019654,   39.14285714,   39.14285714,    0.00000000,         4,       730,         0,         10000,       226,    0.30000000
10000,       200,        0.1206,    1.35283288,   25.00000000,   25.00000000,    0.00000000,         4,       730,         0,         10000,      7184,    0.98500000
10000,       200,        0.0609,    1.29154263,   29.00000000,   29.00000000,    0.00000000,         4,       730,         0,         10000,      4275,    0.95000000
10000,       200,        0.0021,    1.08548906,   37.77631579,   37.77631579,    0.00000000,         4,       730,         0,         10000,       235,    0.24000000
10000,       200,        0.0313,    1.22145155,   33.00000000,   33.00000000,    0.00000000,         4,       730,         0,         10000,      2453,    0.83000000
10000,       200,        0.0022,    1.08338947,   37.86861314,   37.86861314,    0.00000000,         4,       730,         0,         10000,       244,    0.31500000
10000,       200,        0.0908,    1.31206956,   27.25000000,   27.25000000,    0.00000000,         4,       730,         0,         10000,      5761,    0.98000000
10000,       200,        0.0610,    1.28881810,   29.00000000,   29.00000000,    0.00000000,         4,       730,         0,         10000,      4271,    0.94000000
10000,       200,        0.0314,    1.22726396,   33.00000000,   33.00000000,    0.00000000,         4,       730,         0,         10000,      2471,    0.78500000
10000,       200,        0.1207,    1.36049358,   25.00000000,   25.00000000,    0.00000000,         4,       730,         0,         10000,      7229,    0.98000000
10000,       200,        0.0023,    1.09573362,   38.65693431,   38.65693431,    0.00000000,         4,       730,         0,         10000,       257,    0.31500000
10000,       200,        0.0024,    1.09720796,   39.15000000,   39.15000000,    0.00000000,         4,       730,         0,         10000,       267,    0.30000000
10000,       200,        0.0611,    1.26065368,   29.00000000,   29.00000000,    0.00000000,         4,       730,         0,         10000,      4182,    0.95000000
10000,       200,        0.0315,    1.21852627,   33.00000000,   33.00000000,    0.00000000,         4,       730,         0,         10000,      2459,    0.84500000
